Date,City,State,Place,Corps,Class,Score,Year,Event_Name
07/07,Sacramento,CA,2,Mandarins,World Class,78.4,2024
07/06,Stanford,CA,3,Vanguard,World Class,76.1,2024
07/06,Seattle,WA,3,Seattle Cascades,World Class,61.65,2024
07/07,LaCrosse,WI,3,Phantom Regiment,World Class,76.65,2024
07/07,Sacramento,CA,3,Vanguard,World Class,77.5,2024
07/06,Stanford,CA,4,Pacific Crest,World Class,70.7,2024
07/07,LaCrosse,WI,4,Colts,World Class,75.55,2024
07/07,Sacramento,CA,4,Pacific Crest,World Class,71.05,2024
07/06,Stanford,CA,5,Academy,World Class,67.25,2024
07/06,Seattle,WA,1,Columbians,Open Class,64.95,2024
07/07,LaCrosse,WI,5,Madison Scouts,World Class,73.15,2024
07/07,Sacramento,CA,5,Academy,World Class,68.35,2024
07/06,Stanford,CA,1,Blue Devils B,Open Class,66.0,2024
07/07,LaCrosse,WI,1,River City Rhythm,Open Class,62.1,2024
07/07,Sacramento,CA,1,Blue Devils B,Open Class,68.1,2024
07/06,Stanford,CA,2,Gold,Open Class,63.25,2024
07/07,Sacramento,CA,2,Gold,Open Class,65.05,2024
07/06,Stanford,CA,3,Impulse,Open Class,58.4,2024
07/07,Sacramento,CA,3,Impulse,Open Class,59.1,2024
07/06,Stanford,CA,4,Golden Empire,Open Class,57.15,2024
07/07,Sacramento,CA,4,Golden Empire,Open Class,58.25,2024
07/06,Stanford,CA,5,Vessel,Open Class,55.95,2024
07/07,Sacramento,CA,5,Blue Devils C,Open Class,52.25,2024
07/06,Stanford,CA,6,Blue Devils C,Open Class,52.3,2024
07/08,Sevierville,TN,1,Carolina Crown,World Class,83.45,2024
07/08,Kennewick,WA,1,Troopers,World Class,75.75,2024
07/09,Newnan,GA,1,Boston Crusaders,World Class,84.9,2024
07/08,Sevierville,TN,2,Crossmen,World Class,74.65,2024
07/08,Kennewick,WA,2,Blue Knights,World Class,74.4,2024
07/09,Newnan,GA,2,Crossmen,World Class,76.0,2024
07/08,Sevierville,TN,3,Spirit of Atlanta,World Class,71.2,2024
07/08,Kennewick,WA,3,Seattle Cascades,World Class,63.15,2024
07/09,Newnan,GA,3,Spirit of Atlanta,World Class,72.2,2024
07/08,Sevierville,TN,4,Music City,World Class,69.95,2024
07/09,Newnan,GA,4,Music City,World Class,71.25,2024
07/08,Kennewick,WA,1,Columbians,Open Class,64.6,2024
07/08,Sevierville,TN,1,Spartans,Open Class,66.75,2024
07/09,Newnan,GA,1,Spartans,Open Class,68.5,2024
07/09,Newnan,GA,1,Atlanta CV,All-Age - World Class,76.65,2024
07/09,Mankato,MN,1,Phantom Regiment,World Class,81.4,2024
07/09,Boise,ID,1,Mandarins,World Class,80.0,2024
07/10,Ogden,UT,1,Blue Devils,World Class,84.0,2024
07/11,Dubuque,IA,1,Phantom Regiment,World Class,82.9,2024
07/09,Mankato,MN,2,Colts,World Class,76.95,2024
07/09,Boise,ID,2,Troopers,World Class,75.2,2024
07/10,Ogden,UT,2,Mandarins,World Class,79.9,2024
07/11,Dubuque,IA,2,Cavaliers,World Class,78.1,2024
07/09,Mankato,MN,3,Madison Scouts,World Class,74.95,2024
07/09,Boise,ID,3,Blue Knights,World Class,73.5,2024
07/10,Ogden,UT,3,Vanguard,World Class,79.65,2024
07/11,Dubuque,IA,2,Colts,World Class,78.1,2024
07/09,Boise,ID,4,Seattle Cascades,World Class,64.8,2024
07/10,Ogden,UT,4,Troopers,World Class,76.65,2024
07/11,Dubuque,IA,4,Blue Stars,World Class,78.05,2024
07/09,Mankato,MN,1,River City Rhythm,Open Class,66.65,2024
07/10,Ogden,UT,5,Blue Knights,World Class,74.7,2024
07/09,Mankato,MN,2,Colt Cadets,Open Class,61.1,2024
07/10,Ogden,UT,6,Pacific Crest,World Class,71.65,2024
07/11,Dubuque,IA,1,River City Rhythm,Open Class,66.05,2024
07/10,Ogden,UT,7,Academy,World Class,70.7,2024
07/11,Dubuque,IA,2,Colt Cadets,Open Class,61.05,2024
07/09,Mankato,MN,1,Govenaires,All-Age - A Class,69.05,2024
07/10,Ogden,UT,8,Seattle Cascades,World Class,63.9,2024
07/10,Ogden,UT,1,Battalion,Open Class,60.75,2024
07/12,Cheyenne,WY,1,Troopers,World Class,78.4,2024
07/12,Riverside,CA,1,Blue Devils B,Open Class,71.7,2024
07/13,Clifton,NJ,1,Jersey Surf,World Class,63.8,2024
07/13,Little Rock,AR,1,Boston Crusaders,World Class,86.15,2024
07/12,Cheyenne,WY,2,Academy,World Class,74.45,2024
07/12,Riverside,CA,2,Gold,Open Class,68.25,2024
07/13,Little Rock,AR,2,Carolina Crown,World Class,85.25,2024
07/12,Cheyenne,WY,3,Pacific Crest,World Class,71.55,2024
07/12,Riverside,CA,3,Impulse,Open Class,62.55,2024
07/13,Clifton,NJ,1,Reading Buccaneers,All-Age - World Class,85.85,2024
07/13,Little Rock,AR,3,Crossmen,World Class,77.2,2024
07/12,Cheyenne,WY,4,Genesis,World Class,67.95,2024
07/12,Riverside,CA,4,Golden Empire,Open Class,60.05,2024
